Accession	Description	Extended.Description	Organism	No..Samples	Platform	GEO.SRA	FTP	SampleType	Disease	Normal_samples	COPD_samples	NonCOPD_samples	Additional_treatment	Notes
GSE5059	Airway epithelium, large airways, phenotypically normal smokers vs non-smokers, MAS5 (HG-U133 2.0)	(Submitter supplied) Upregulation of Expression of the Ubiquitin Carboxyl Terminal Hydrolase L1 Gene in Human Airway Epithelium of Cigarette Smokers The microarray data deposited here is from 9 HG-U133 Plus 2.0 GeneChips, from 4 normal non-smokers, and 5 phenotypic normal smokers, all large airways. These data are part of a study aimed at  understanding how cigarette smoking modifies neuroendocrine cells, in which microarray analysis with TaqMan confirmation was used to assess airway epithelial samples obtained by fiberoptic bronchoscopy from 81 individuals (normal nonsmokers, normal smokers, smokers with early COPD and smokers with established COPD). more..	Homo sapiens	9	GPL570	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5059/	EPITHELIUM	COPD	NORMAL	NA	9	NO	
GSE5058	Airway epithelium, small airways, normal non-smokers, phenotypic normal smokers, smokers with COPD and early COPD	(Submitter supplied) Upregulation of Expression of the Ubiquitin Carboxyl Terminal Hydrolase L1 Gene in Human Airway Epithelium of Cigarette Smokers The microarray data deposited here is from 39 HG-U133 Plus 2.0 GeneChips, from 12 normal non-smokers, 12 phenotypic normal smokers, 9 Early COPD and 6 COPD individuals, all small airways, all small airway. A subset of these samples have been already submitted under GEO Accession Number GSE 4498. more..	Homo sapiens	39	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5058/	EPITHELIUM	COPD	NORMAL	15	24	NO	
GSE5057	Airway epithelium, large airways, phenotypically normal smokers vs non-smokers, MAS5 (HG-U133A)	(Submitter supplied) Upregulation of Expression of the Ubiquitin Carboxyl Terminal Hydrolase L1 Gene in Human Airway Epithelium of Cigarette Smokers The microarray data deposited here is from 11 HG-U133A GeneChips, from 5 normal non-smokers and 6 phenotypic normal smokers, large airways. Samples from the small airways of these individuals have been obtained and analyzed using the HG-U133A GeneChip; the small airway samples are in GEO Accession Number GSE 3320, and the data analysis is described in Harvey, B-G; Heguy, A.; Leopold, P.L.; Carolan, B.; Ferris, B. more..	Homo sapiens	11	GPL96	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5057/	EPITHELIUM	COPD	NORMAL	NA	11	NO	
GSE5056	Airway epithelium, large airways, phenotypically normal smokers vs non-smokers, MAS5 (HuGeneFL)	(Submitter supplied) Upregulation of Expression of the Ubiquitin Carboxyl Terminal Hydrolase L1 Gene in Human Airway Epithelium of Cigarette Smokers The microarray data deposited here is from 44 HuGeneFL GeneChips, from 9 normal non-smokers and 13 phenotypic normal smokers, large airways, 2 samples per individual, one from the right lung and one from the left lung. These samples were previously described in Hackett NR, Heguy A, Harvey BG, O'Connor TP, Luettich K, Flieder DB, Kaplan R, Crystal RG. more..	Homo sapiens	44	GPL80	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE5nnn/GSE5056/	EPITHELIUM	COPD	NORMAL	NA	44	NO	
GSE4498	Expression data of small airway epithelium from phenotypically normal smokers and non-smokers	(Submitter supplied) Modification of Gene Expression of the Small Airway Epithelium in Response to Cigarette Smoking The earliest morphologic evidence of changes in the airways associated with chronic cigarette smoking is in the small airways. To help understand how smoking modifies small airway structure and function, we developed a strategy using fiberoptic bronchoscopy and brushing to sample the human small airway (10th-12th order) bronchial epithelium to assess gene expression (HG-133 Plus 2.0 array) in phenotypically normal smokers (n=10, 33 ± 7 pack-yr) compared to matched non-smokers (n=12). more..	Homo sapiens	22	GPL570	CEL, CHP	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE4nnn/GSE4498/	EPITHELIUM	COPD	NORMAL	NA	22	NO	
GSE3320	Gene expression profile of small airway epithelium of normal non-smokers and normal smokers	(Submitter supplied) The earliest morphologic evidence of changes in the airways associated with chronic cigarette smoking is in the small airways. To help understand how smoking modifies small airway structure and function, we developed a strategy using fiberoptic bronchoscopy and brushing to sample the human small airway (10th-12th order) bronchial epithelium to assess gene expression (Affymetrix HG-U133A array) in phenotypically normal smokers (n=6, 24 ± 4 pack-yr) compared to matched non-smokers (n=5). more..	Homo sapiens	11	GPL96	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE3nnn/GSE3320/	EPITHELIUM	COPD	NORMAL	NA	11	NO	
GSE994	Effects of cigarette smoke on the human airway epithelial cell transcriptome	(Submitter supplied) A number of studies have shown that cigarette smoking produces a field defect, such that genetic mutations induced by smoking occur throughout the lung and its intra and extra-pulmonary airways. Based on this concept, we have begun this study, which has as its goal the definition of the normal airway transcriptome, an analysis of how that transcriptome is affected by cigarette smoke, and to explore the reversibility of altered gene expression when smoking has been discontinued. more..	Homo sapiens	75	GPL96	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSEnnn/GSE994/	EPITHELIUM	NA	NORMAL	NA	75	NO	
GSE128709	Exaggerated BMP4 signalling alters human airway basal progenitor cell differentiation to cigarette smoking-related phenotypes	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	NA	NA	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128709/	EPITHELIUM_BASAL_CELLS	COPD	NA	NA	NA	NA	NA
GSE128708	Exaggerated BMP4 signalling alters human airway basal progenitor cell differentiation to cigarette smoking-related phenotypes [array]	(Submitter supplied) Airway remodelling in chronic obstructive pulmonary disease (COPD) originates, in part, from smoking-induced changes in airway basal stem/progenitor cells (BCs). Based on the knowledge that bone morphogenetic protein 4 (BMP4) influences epithelial progenitor function in the developing and adult mouse lung, we hypothesised that BMP4 signalling may regulate the biology of adult human airway BCs relevant to COPD. more..	Homo sapiens	208	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128708/	EPITHELIUM_BASAL_CELLS	COPD	NA	NA	NA	NA	NA
GSE101353	Exaggerated BMP4 signalling alters human airway basal progenitor cell differentiation to cigarette smoking-related phenotypes [RNA-Seq]	(Submitter supplied) Airway remodelling in chronic obstructive pulmonary disease (COPD) originates, in part, from smoking-induced changes in airway basal stem/progenitor cells (BCs). Based on the knowledge that bone morphogenetic protein 4 (BMP4) influences epithelial progenitor function in the developing and adult mouse lung, we hypothesised that BMP4 signalling may regulate the biology of adult human airway BCs relevant to COPD. more..	Homo sapiens	71	GPL16791	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE101nnn/GSE101353/	EPITHELIUM_BASAL_CELLS	COPD	NA	NA	NA	NA	NA
GSE40364	eQTL analysis of many thousands of expressed genes while simultaneously controlling for hidden factors	(Submitter supplied) Motivation: Identification of eQTL, the genetic loci that contribute to heritable variation in gene expression, can be obstructed by factors that produce variation in expression profiles if these factors are unmeasured or hidden from direct analysis. Methods: We have developed a method for Hidden Expression Factor analysis (HEFT) that identifies individual and pleiotropic effects of eQTL in the presence of hidden factors. more..	Homo sapiens	NA	NA	CEL, CHP, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE40nnn/GSE40364/	EPITHELIUM_BLOOD		CONTROL	NA	232	YES: HEFT	
GSE22047	Modulation of Cystatin A Expression in Human Airway Epithelium Related to Genotype, Smoking COPD and Lung Cancer	(Submitter supplied) Cystatin A (gene: CSTA), is up-regulated in non-small-cell lung cancer (NSCLC) and dysplastic vs normal human bronchial epithelium. In the context that chronic obstructive pulmonary disease (COPD), a small airway epithelium (SAE) disorder, is independently associated with NSCLC (especially squamous cell carcinoma, SCC), but only occurs in a subset of smokers, we hypothesized that genetic variation, smoking and COPD modulate CSTA gene expression levels in SAE, with further up-regulation in SCC. more..	Homo sapiens	NA	NA	CEL, CHP, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE22nnn/GSE22047/	EPITHELIUM_BLOOD	COPD	NORMAL	-	-	NO	
GSE146436	Human Ex Vivo Lung Perfusion: A Model System to study Lung diseases and direct targeted therapies	(Submitter supplied) In the present study, we demonstrate the feasibility of the EVLP technique to perfuse lungs from deceased patients with a broad spectrum of chronic lung diseases. We were able to assess gene expression changes over the course of EVLP and between end-stage diseases by RNA sequencing transcriptomics from tissue samples collected at different time points,  revealing fundamental genetic information which has important avenues for modulation in the future. more..	Homo sapiens	26	GPL18573	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE146nnn/GSE146436/	LUNG_TISSUE	COPD_IPF_PAH	5	2	6	Ex Vivo Lung Perfusion	NA
GSE151764	Two distinct immunopathological profiles in lungs of lethal COVID-19	(Submitter supplied) Immune responses in lungs of Coronavirus Disease 2019 (COVID-19) are poorly characterized. We conducted transcriptomic, histologic and cellular profiling of post mortem COVID-19 and normal lung tissues. Two distinct immunopathological reaction patterns were identified. One pattern showed high expression of interferon stimulated genes (ISGs) and cytokines, high viral loads and limited pulmonary damage, the other pattern showed severely damaged lungs, low ISGs, low viral loads and abundant immune infiltrates. more..	Homo sapiens	56	GPL24014	CSV	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151764/	LUNG_TISSUE	COVID19	NA	NA	NA	NA	NA
GSE151052	The site and nature of terminal bronchiolar destruction in chronic obstructive pulmonary disease (COPD).	(Submitter supplied) Previous studies have reported progressive reductions of terminal bronchioles in chronic obstructive pulmonary disease (COPD). Based on micro-CT and Microarray profiling, this study determines the exact site of terminal bronchiole reduction and begins to investigate the gene expression patterns associated with the reduction in COPD	Homo sapiens	117	GPL17556	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE151nnn/GSE151052/	LUNG_TISSUE	COPD	40	77	NA	NA	10 COPD samples and 5 Controls
GSE103404	Distinct cancer-promoting stromal gene expression depending on lung function	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) is an independent risk factor for lung cancer, but the underlying molecular mechanisms are unknown. We hypothesized that lung stromal cells activate pathological gene expression programs supporting oncogenesis. To identify molecular mechanisms operating in the lung stroma that support development of lung cancer. Study subjects included patients with- or without- lung cancer across a spectrum of lung function. more..	Homo sapiens	64	GPL11154	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103404/	LUNG_TISSUE	COPD	NA	NA	64	NA	
GSE70867	BAL cell gene expression is predictive of Mortality in Idiopathic Pulmonary Fibrosis and enriched for Genes of Airway Basal Cells	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	321	NA	CEL, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE70nnn/GSE70867/	LUNG_TISSUE	IPF	CONTROL	29	292	NA	Expression of BAL cell as predictive of mortality in IPF
GSE106899	Multi-Omic Molecular Profiling of Lung Cancer Risk in Chronic Obstructive Pulmonary Disease	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) is a known risk factor for developing lung cancer suggesting that the COPD stroma contains factors supporting tumorigenesis. Since cancer initiation is complex we used a multi-omic approach to identify gene expression patterns that distinguish COPD stroma in patients with or without lung cancer. We obtained lung tissue from patients with COPD and lung cancer (tumor and adjacent non-malignant tissue) and those with COPD without lung cancer for proteomic and mRNA (cytoplasmic and polyribosomal) profiling. more..	Homo sapiens	66	GPL11154	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106899/	LUNG_TISSUE	COPD	CANCER	NA	66	NA	
GSE119040	Expression data from lung tissue of exsmokers	(Submitter supplied) Gene expression of lung tissue from ex-smokers	Homo sapiens	10	GPL96	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE119nnn/GSE119040/	LUNG_TISSUE	NA	NA	NA	10	NA	
GSE103174	Expression data from lung tissue in mild-moderate COPD	(Submitter supplied) Rationale: Chronic Obstructive Pulmonary Disease (COPD) is associated with a complex pulmonary and systemic immune response. Objective: To characterize and relate the lung tissue and circulating blood network immune response in COPD. Methods: Lung tissue and circulating blood samples were simultaneously obtained from COPD patients (current smokers n=28 and former smokers n=16) and controls (current smokers n=9 and non-smokers n=12) undergoing thoracic surgery. more..	Homo sapiens	53	GPL13667	CEL, TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE103nnn/GSE103174/	LUNG_TISSUE	COPD	CONTROL	44	21	NA	
GSE106986	Identification of target genes in human lung tissue of COPD patients	(Submitter supplied) Lung tissue of COPD patients and tissue of non-smokers was investigated in transcriptome analysis with regard to differences in RNA expression levels to identify target genes for COPD treatment	Homo sapiens	19	GPL13497	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE106nnn/GSE106986/	LUNG_TISSUE	COPD	CONTROL	14	5	NA	
GSE85538	HIV Reprograms Human Airway Basal Stem/Progenitor Cells to Acquire a Tissue Destructive Phenotype	(Submitter supplied) While the survival rate of HIV-infected individuals has dramatically improved with the development of highly active anti-retroviral therapy, HIV-infected individuals have an increased risk for chronic disorders, including the development of COPD, manifesting as emphysema. The mechanisms of HIV-associated emphysema are not understood. Based on the knowledge that human airway basal cells (BC) function as stem/progenitor cells capable of differentiation into specialized ciliated and secretory cells during natural turnover and repair in response to injury, we hypothesized that HIV interacts with, and consequently induces pathologic programming of the BC that contributes to the development of emphysema	Homo sapiens	10	GPL11154	FPKM_TRACKING	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE85nnn/GSE85538/	LUNG_TISSUE	EMPHYSEMA_COPD	NA	NA	10	Yes: soluble heparan sulfate	HIV and increased risk of chronic disorders
GSE76925	Functional interactors of genomewide association study genes are differentially expressed in severe chronic obstructive pulmonary disease lung tissue	(Submitter supplied) Multiple gene expression studies have been performed in lung or airway tissues from subjects with chronic obstructive pulmonary disease (COPD). However, in comparison to genome-wide association studies (GWAS), there has been poor replication across these studies. We sought to perform gene expression profiling on a large sample of severe COPD cases and control smokers and use network methods to identify interacting genes and pathways. more..	Homo sapiens	151	GPL10558	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE76nnn/GSE76925/	LUNG_TISSUE	COPD	CONTROL	111	40	Yes: AllPrep kit	
GSE37768	Expression data in lung tissue from moderate COPD patients, healthy smokers and nonsmokers	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) is a progressive and irreversible chronic inflammatory lung disease. The abnormal inflammatory response of the lung, mainly to cigarette smoke, causes multiple cellular and structural changes affecting all of its compartments, which leads to disease progression. The molecular mechanisms underlying these pathological changes are still not fully understood The aim of this study was to identify genes and molecular pathways potentially involved in the pathogenesis of COPD	Homo sapiens	38	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE37nnn/GSE37768/	LUNG_TISSUE	COPD	NORMAL	18	20	NO	
GSE69818	COPD lung tissue expression	(Submitter supplied) Comparison of emphysema vs non emphysema COPD lung tissue expression	Homo sapiens	70	GPL13667	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69818/	LUNG_TISSUE	EMPHYSEMA_COPD	NONEMPHYSEMA_COPD	70	0	NO	
GSE69134	Genome expression profiling identifies host-directed antimicrobial drugs against respiratory infection by nontypable Haemophilus influenzae	(Submitter supplied) Objectives: Therapies being safe, effective and not vulnerable to develop resistance are highly desirable to counteract bacterial infections. Host-directed therapeutics is an alternative to conventional antibiotics based on perturbing host pathways subverted by pathogens during their life cycle by the use of host-directed drugs to counteract microbial infections. This study sought to identify cellular genes and pathways differentially expressed during airways epithelial infection by nontypable Haemophilus influenzae (NTHi). more..	Homo sapiens	8	GPL887	GPR	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69134/	LUNG_TISSUE	COPD	CONTROL	NA	8	YES: H.influenzaeNTP	
GSE57148	Characterizing gene expression in lung tissue of COPD subjects using RNA-seq	(Submitter supplied) We analyzed gene expression profiling of lung tissue to define molecular pathway of COPD using recent RNA sequencing technology.Lung tissue was obtained from 98 COPD subjects and 91 subjects with normal spirometry. RNA isolated from these samples was processed with RNA-seq using HiSeq 2000. Gene expression measurements were calculated using Cufflinks software. Differentially expressed genes and isoforms were chosen using t-test. more..	Homo sapiens	189	GPL11154	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE57nnn/GSE57148/	LUNG_TISSUE	COPD	NORMAL	98	91	NO	
GSE62974	RNA sequencing (RNA-SEQ) of EPAS1 knockdown by siRNA in endothelial cells	(Submitter supplied) Purpose: By integrating DNA methylation and gene expression of COPD lung tissues, we identified EPAS1 as a key regulator whose downstream genes significantly overlapped with multiple genes sets associated with COPD disease severity. EPAS1 is distinct in comparison with other key regulators in terms of methylation profiles and downstream target genes. Genes predicted to be regulated by EPAS1 were enriched for biological processes including signaling, cell communications, and system developement. more..	Homo sapiens; Mus musculus	NA	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE62nnn/GSE62974/	HUVEC	COPD	CONTROL	NA	12	YES: EPAS1 siRNAs	COPD severity phenotypes
GSE63073	Genes related to emphysema are enriched for ubiquitination pathways	(Submitter supplied) Increased small airway resistance and decreased lung elasticity contribute to the airflow limitation in chronic obstructive pulmonary disease (COPD).  The lesion that corresponds to loss of lung elasticity is emphysema; the small airway obstruction is due to inflammatory narrowing and obliteration.  Despite their convergence in altered physiology, different mechanisms contribute to these processes. The relationships between gene expression and these specific phenotypes may be more revealing than comparison with lung function. We measured the ratio of alveolar surface area to lung volume (SA/V) in lung tissue from 43 smokers.  Two samples from 21 subjects, in which SA/V differed by > 49 cm2/mL were profiled to select genes whose expression correlated with SA/V.  The level of expression of 181 transcripts was related to SA/V ( p< 0.05).   The relationship between expression of these transcripts and SA/V was tested in the 22 remaining subjects as a replication.  Thirty of the 181 genes remained significantly associated with SA/V (P<0.05) and the direction of association was the same in 164/181. Pathway and network analysis revealed enrichment of genes involved in protein ubiquitination, and western blotting showed altered expression of genes involved in protein ubiquitination in obstructed individuals. These data implicate modified protein ubiquitination and degradation as a potentially important pathway in the pathogenesis of emphysema. Raw data not available for this study	Homo sapiens	42	GPL3991	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE63nnn/GSE63073/	LUNG_TISSUE	EMPHYSEMA_COPD	NA	42	NA	NO	
GSE60486	Consensus Preprocessing of GEO and ArrayExpress Normal and Diseased Lung Tissue Microarray Data	(Submitter supplied) The Affymetrix oligonucleotide microarrays measure gene expression by quantifying intensity of fluorescently labeled gene fragments that bind to sets of 25-mer oligonucleotide probes on the chip with specific sequences tailored to be complementary to the target genes. Each gene is associated with a probe set containing several pairs (usually 11) of perfect match (perfectly complementary to target sequence) and mismatch (different base at position 13 of 25) probes. more..	Homo sapiens	NA	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE60nnn/GSE60486/	LUNG_TISSUE	COPD_ASTHMA_ADC_SCC_LCLC	NORMAL	NA	NA	NO	
GSE27536	Vastus lateralis biopsies from healthy and COPD patients before and after 8 weeks of exercise training	(Submitter supplied) Study the training exercise effects in chronic obstructive pulmonary disease (COPD) patients and aged-matched healthy individuals. Skeletal muscle biopsies from 9 stable COPD patients with normal fat free mass index (FFMI, 21Kg/m2) (COPDN), 6 COPD patients with low FFMI  (16Kg/m2) (COPL), and 12 healthy sedentary subjects (FFMI 21Kg/m2) before and after 8 weeks of a supervised endurance exercise program were analyzed	Homo sapiens	54	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27536/	LUNG_TISSUE	COPD	NORMAL	54	NA	YES: exercise	8 weeks of exercise training
GSE43580	SBV - Gene Expression Profiles of Lung Cancer Tumors - Adenocarcinomas and Squamous Cell Carcinomas	(Submitter supplied) This dataset encompassing the profiles of 150 lung cancer tumors was developed to serve as test dataset in the SBV IMPROVER Diagnostic Signature Challenge (sbvimprover.com). The aim of this subchallenge was to verify that it is possible to extract a robust diagnostic signature from gene expression data that can identify stages of different types of lung cancer. Participants were asked to develop and submit a classifier that can stratify lung cancer patients in one of four groups – Stage 1 of Adenocarcinoma (AC Stage 1), Stage 2 of Adenocarcinoma (AC Stage 2), Stage 1 of Squamous cell carcinoma (SCC Stage 1) or Stage 2 of Squamous cell carcinoma (SCC Stage 2). more..	Homo sapiens	150	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE43nnn/GSE43580/	LUNG_TISSUE	CANCER	NA	NA	150	NO	
GSE47460	Gene expression profiling of chronic lung disease for the Lung Genomics Research Consortium	(Submitter supplied) Microarray data from total RNA extracted from whole lung homogenate from subjects undergoing thoracic surgery. These subjects were diagnosed as being controls or having interstitial lung disease or COPD as determined by clinical history, CT scan, and surgical pathology. There was no intervention, these are cross-sectional data.  All samples are from the Lung Tissue Research Consorium (LTRC and are indexed by their LTRC tissue label)	Homo sapiens	NA	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE47nnn/GSE47460/	LUNG_TISSUE	COPD	CONTROL	204	378	NO	
GSE27597	A gene expression signature of emphysema-related lung destruction and its reversal by the tripeptide GHK.	(Submitter supplied) BACKGROUND: Chronic obstructive pulmonary disease (COPD) is a heterogeneous disease consisting of emphysema, small airway obstruction, and/or chronic bronchitis that results in significant loss of lung function over time. METHODS: In order to gain insights into the molecular pathways underlying progression of emphysema and explore computational strategies for identifying COPD therapeutics, we profiled gene expression in lung tissue samples obtained from regions within the same lung with varying amounts of emphysematous destruction from smokers with COPD (8 regions x 8 lungs = 64 samples). more..	Homo sapiens	NA	NA	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE27nnn/GSE27597/	LUNG_TISSUE	EMPHYSEMA_BRONCHITIS_COPD	NORMAL	48	24	YES: GHK o TGF-Beta1	
GSE38974	Gene expression networks in COPD: microRNA and mRNA regulation	(Submitter supplied) 70 miRNAs and 2667 mRNAs were differentially expressed between lung tissue from subjects with COPD and smokers without COPD. miRNA and mRNA expression profiles enriched for biological pathways that may be relevant to the pathogenesis of COPD including the transforming growth factor b, Wnt and focal adhesion pathways. miR-223 and miR-1274a were the most affected miRNAs in subjects with COPD compared with smokers without obstruction. more..	Mus musculus; Human gammaherpesvirus 4; Human gammaherpesvirus 8; Human polyomavirus 1; Rattus norvegicus; JC polyomavirus; Murid gammaherpesvirus 4; Homo sapiens; Human betaherpesvirus 5; Murid betaherpesvirus 1; Human immunodeficiency virus 1; Human alphaherpesvirus 1; Macaca mulatta polyomavirus 1	NA	NA	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38974/	LUNG_TISSUE	COPD	NORMAL	42	17	NO	
GSE38934	Gene expression profiling of lung tissues from patients with combined pulmonary fibrosis and emphysema	(Submitter supplied) Combined pulmonary fibrosis and emphysema (CPFE) is characterized by upper-lobe emphysema combined with lower-lobe fibrosis and a high prevalence of pulmonary hypertension. The aim of this study was to measure and analyze gene expression profiles in the lungs of CPFE patients. The results showed that the expression profiles of the fibrotic and emphysematous lesions were remarkably different in terms of function. more..	Homo sapiens	6	GPL570	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE38nnn/GSE38934/	LUNG_TISSUE	CPFE	NA	NA	6	NO	
GSE23545	Whole-genome gene expression profiles of non-tumorous human lung tissues: GRNG set	(Submitter supplied) We profiled genome-wide gene expression in non-tumorous human lung tissues. The overall goal of this project is to improve our molecular understanding of various lung diseases including lung cancer and chronic obstructive pulmonary disease (COPD)	Homo sapiens	445	GPL10379	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23545/	LUNG_TISSUE	COPD_CANCER	NA	NA	445	NO	
GSE23529	Whole-genome gene expression profiles of non-tumorous human lung tissues: UBC set	(Submitter supplied) We profiled genome-wide gene expression in non-tumorous human lung tissues. The overall goal of this project is to improve our molecular understanding of various lung diseases including lung cancer and chronic obstructive pulmonary disease (COPD)	Homo sapiens	405	GPL10379	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23529/	LUNG_TISSUE	COPD_CANCER	NA	NA	405	NO	
GSE23352	Whole-genome gene expression profiles of non-tumorous human lung tissues: Laval set	(Submitter supplied) We profiled genome-wide gene expression in non-tumorous human lung tissues. The overall goal of this project is to improve our molecular understanding of various lung diseases including lung cancer and chronic obstructive pulmonary disease (COPD)	Homo sapiens	499	GPL10379	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE23nnn/GSE23352/	LUNG_TISSUE	COPD_CANCER	NA	NA	499	NO	
GSE33338	miRNA changes in mild and moderate emphysema correlate with target gene expression in vivo and in vitro	(Submitter supplied) This SuperSeries is composed of the SubSeries listed below	Homo sapiens	NA	NA	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33338/	LUNG_TISSUE	EMPHYSEMA	NA	COPD:31,EARLY:8	0	YES: miR-34c	
GSE33337	miRNA changes in mild and moderate emphysema correlate with target gene expression in vivo and in vitro [target gene expression data]	(Submitter supplied) To define the role of microRNAs and their mRNA targets in emphysema severity in COPD patients	Homo sapiens	8	GPL6947	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE33nnn/GSE33337/	LUNG_TISSUE	EMPHYSEMA_COPD	EARLY COPD	8	0	YES: miR-34c	
GSE36221	Airway gene expression is dynamic with corticosteroid treatment and reflects disease activity	(Submitter supplied) Introduction: In the recently completed Dutch GLUCOLD study, treatment of COPD patients with fluticasone ± salmeterol reduced the rate of decline in FEV1. These results indicate that ICS can have therapeutic efficacy in COPD. Aim: To explore the molecular mechanisms by which ICS exert their effects, we performed genome-wide gene expression profiling on bronchial biopsies from COPD patients who participated in the GLUCOLD study. more..	Homo sapiens	221	GPL6244	CEL	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE36nnn/GSE36221/	LUNG_TISSUE	COPD	CONTROL	221	NA	YES: FLUTICASONE +/_ SALMETEROL OR PLACEBO	
GSE20881	Colon biopsies from Crohns patients and healthy controls	(Submitter supplied) The aim of this study was to investigate differential intestinal gene expression in patients with Crohn's disease (CD) and controls.  172 biopsies from CD and control subjects were studied.  Endoscopic biopsies were taken at ileocolonoscopy from five specific anatomical locations including the terminal ileum for RNA extraction	Homo sapiens	172	GPL1708	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE20nnn/GSE20881/	LUNG_TISSUE	CHROHN´S DISEASE	CONTROL	NA	172	NO	
GSE18212	THE EFFECTS OF ALCOHOLISM ON THE HUMAN BASOLATERAL AMYGDALA	(Submitter supplied) Alcohol affects gene expression in several brain regions. The amygdala is a key structure in the brain’s emotional system and in recent years the crucial importance of the amygdala in drug-seeking and relapse has been increasingly recognized. In this study gene expression screening was used to identify genes involved in alcoholism in the human basolateral amygdala. The results show that alcoholism affects a broad range of genes and many systems including genes involved in synaptic transmission, neurotransmitter transport, structural plasticity, metabolism, energy production, transcription and RNA processing and the circadian cycle. more..	Homo sapiens	2	GPL9268	TXT	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE18nnn/GSE18212/	LUNG_TISSUE	ALCOHOLISM	CONTROL	NA	2	NO	
GSE17770	Expression Profiling Identifies Genes Involved in Emphysema	(Submitter supplied) Chronic obstructive pulmonary disease (COPD) is a major public health problem. The aim of this study was to identify genes involved in emphysema severity in COPD patients.  Gene expression profiling was performed on total RNA extracted from non-tumor lung tissue from 30 smokers with emphysema. Class comparison analysis based on gas transfer measurement was performed to identify differentially expressed genes. more..	Homo sapiens	30	GPL3877	NA	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE17nnn/GSE17770/	LUNG_TISSUE	EMPHYSEMA_COPD	NORMAL	NA	30	NO	Dual channel microarray
